,0,1,2,3,4,5
363,,,John Gregorek,(3:41.3),15.04.60,USA
364,,,James DeRienzo,(3:42.8),13.08.57,USA
365,73.0,15:04.07,Providence College,2,Philadelp,30.04.1994
366,,,David Healy,(3:48.4),74,IRL
367,,,Nick Jackson,(3:46.6),,USA
368,,,Andy Wedlake,(3:49.5),30.11.71,GBR
369,,,Andy Keith,(3:39.6),25.12.71,GBR
370,75.0,15:04.14,University of Michigan,2,Philadelp,26.04.1997
371,,,Jay Cantin,(3:44.2),23.04.77,CAN
372,,,Don McLaughlin,(3:46.6),23.05.76,USA
373,,,Scott MacDonald,(3:49.9),24.08.73,CAN
374,,,Kevin Sullivan,(3:43.4),20.03.74,CAN
375,76.0,15:04.2,France,1,Versaille,28.06.1961
376,,,Jean Clausse,,04.09.36,FRA
377,,,Robert Bogey,,26.11.35,FRA
378,,,Michel Jazy,,13.06.36,FRA
379,,,Michael Bernard,,21.12.31,FRA
380,77.0,15:04.6,Great Britain & N.I.,2,Athínai,05.05.1976
381,,,Jim McGuinness,,21.09.51,GBR
382,,,Erwin Hartel,,28.07.51,GBR
383,,,Adrian Weatherhead,,22.07.43,GBR
384,,,Glen Grant,,16.07.53,GBR
385,78.0,15:04.7,University of Wisconsin,3,Philadelp,27.04.1985
386,,,Patrick Ames,(3:49.6),,USA
387,,,John Easker,(3:41.8),30.05.63,USA
388,,,Kris Herdt,(3:50.4),16.11.65,USA
389,,,Tim Hacker,(3:42.9),27.12.62,USA
390,78.0,15:04.7,Italy,1,Sheffield,05.06.1992
391,,,Davide Tirelli,,12.08.66,ITA
392,,,Fabio Olivo,,05.02.66,ITA
393,,,Alessandro Lambruschini,,07.01.65,ITA
394,,,Gennaro Di Napoli,,05.03.68,ITA
395,80.0,15:05.0,New Zealand - B,2,Auckland,17.05.1975
396,,,Nicholas Serem,,01.01.53,KEN
397,,,John Kipkurgat,,16.03.44,KEN
398,,,Herman Kipngetich,,54,KEN
399,,,Daniel Omwanza,,05.05.48,KEN
400,81.0,15:05.1,Sporting Clube de Portugal,1,Lisboa,17.06.1992
401,,,Antonio Monteiro,,04.02.63,POR
402,,,João Junqueira,,24.06.65,POR
403,,,Carlos Monteiro,,14.12.65,POR
404,,,Paulo Estiveira,,30.07.70,POR
405,82.0,15:05.2,LAC Quelle Fürth,2,Flensburg,01.08.1981
406,,,Wolfgang Huschke,,59,FRG
407,,,Christoph Herle,,19.11.55,FRG
408,,,Klaus Peter Nabein,,10.05.60,GER
409,,,Patriz Ilg,,05.12.57,FRG
410,83.0,15:05.29,Western Kentucky University,2,Knoxville,10.04.1981
411,,,,,,USA
412,,,,,,USA
413,,,,,,USA
414,,,,,,USA
415,84.0,15:05.38,University of Arkansas,1,Philadelp,29.04.1995
416,,,Ryan Wilson,(3:47.9),14.08.74,USA
417,,,Mike Morin,(3:46.1),07.04.72,USA
418,,,Jason Bunston,(3:46.6),12.05.72,CAN
419,,,Graham Hood,(3:43.8),02.04.72,CAN
420,85.0,15:05.5,Dartmouth College,4,Philadelp,27.04.1985
421,,,John McCright,(3:49.5),,USA
422,,,Jim Sapienza,(3:45.3),27.08.63,USA
423,,,Shawn O'Neal,(3:48.0),,USA
424,,,Mike Fadil,(3:42.7),02.06.63,USA
425,86.0,15:05.7,Villanova University,1,Knoxville,13.04.1979
426,,,Dean Childs,(3:47.1),01.01.57,CAN
427,,,Amos Korir,(3:47.7),06.06.56,KEN
428,,,Sydney Maree,(3:47.2),09.09.56,RSA
429,,,Donald Paige,(3:43.7),13.10.56,USA
430,86.0,15:05.70,Poland,6,Nassau,25.05.2014
431,,,Szymon Krawczyk,(3:49.8),29.12.88,POL
432,,,Mateusz Demczyszak,(3:46.1),18.01.86,POL
433,,,Marcin Lewandowski,(3:43.1),13.06.87,POL
434,,,Adam Kszczot,(3:46.7),02.09.89,POL
435,88.0,15:05.71,Adidas RT,2,Madrid,05.09.1997
436,,,Javier Moro,,16.04.75,ESP
437,,,Reyes Estévez,,02.08.76,ESP
438,,,Enrique Molina,,25.02.68,ESP
439,,,Carlos Garcia,,21.08.75,ESP
440,89.0,15:05.8,Athletics West,1,Walnut,29.04.1984
441,,,Ron Addison,(3:50.0),26.06.54,USA
442,,,Vince Draddy,(3:44.3),19.04.61,USA
443,,,Larry Mangan,(3:43.1),24.05.59,USA
444,,,Richie Harris,(3:48.4),04.03.59,USA
445,90.0,15:06.0,Pennsylvania State Universi,3,Philadelp,28.04.1979
446,,,Tom Rapp,(3:50.6),,USA
447,,,Bob Snyder,(3:42.7),24.01.56,USA
448,,,Mike Wyatt,(3:46.6),10.01.56,USA
449,,,Larry Mangan,(3:46.1),24.05.59,USA
450,90.0,15:06.0,ASV Köln,3,Flensburg,01.08.1981
451,,,Claus Jaroschek,,54,FRG
452,,,Henning von Pappen,,05.08.52,FRG
453,,,Manfred Nellesen,,28.05.57,FRG
454,,,Thomas Wessinghage,,22.02.52,FRG
455,92.0,15:06.08,University of Arkansas,4,Philadelp,24.04.1993
456,,,Teddy Mitchell,(3:51.9),22.02.72,USA
457,,,Mike Morin,(3:40.0),07.04.72,USA
458,,,John Schiefer,(3:49.7),20.04.71,USA
459,,,Niall Bruton,(3:44.5),07.10.71,IRL
