,0,1,2,3,4,5
313,,,Deirdre Byrne,(4:24.7.,21.09.82,IRL
314,,,Fiona Crombie,(4:24.3),15.08.82,NZL
315,64.0,17:34.32,University of Virginia,8,Philadelphia,29.04.2023
316,,,Keara Seasholtz,,04.11.01,USA
317,,,Esther Seeland,,16.07.00,USA
318,,,Anna Workman,,01.01.02,CAN
319,,,Margot Appleton,,30.09.02,USA
320,65.0,17:34.43,University of Wisconsin,7,Philadelphia,30.04.2022
321,,,Emma Watcke,,03.06.00,USA
322,,,Lucinda Crouch,,29.01.00,AUS
323,,,Alissa Niggemann,,15.11.97,USA
324,,,Victoria Heiligenthal,,02.11.01,USA
325,66.0,17:34.58,Scotland,2,Grangemouth,17.08.2006
326,,,Freya Murray,(4:25.90,20.09.83,GBR
327,,,Susan Scott,(4:23.65,26.09.77,GBR
328,,,Nicola Gauld,(4:24.26,28.03.82,GBR
329,,,Hayley Ovens,(4:21.06,05.12.75,GBR
330,67.0,17:34.63,University of Arkansas,1,Philadelphia,28.04.2001
331,,,Andreina Byrd,,21.08.78,GER
332,,,Larissa Kleinmann,,10.09.78,GER
333,,,Christin Wurth-Thomas,,11.07.80,USA
334,,,Tracey Robertson,,29.04.77,CAN
335,68.0,17:35.48,Villanova University,1,Philadelphia,27.04.2018
336,,,Kelsey Margey,(4.29.2),07.05.94,USA
337,,,Kaley Ciluffo,(4:24.2),11.09.96,USA
338,,,Lauren Ryan,(4:25.1),15.03.98,USA
339,,,Nicole Hutchinson,(4:17.0),17.06.97,CAN
340,69.0,17:36.60,University of Colorado,1,Philadelphia,26.04.1996
341,,,Carrie Messner,(4:24.6),17.06.77,USA
342,,,Nathalie Raveling,(4:27.8),08.10.72,US9
343,,,Shayne Wille,(4:24.8),03.12.73,USA
344,,,Kelly Smith,(4:19.4),02.08.75,USA
345,70.0,17:36.66,Stanford University,2,Philadelphia,26.04.2002
346,,,Ashley Wysong,,26.01.79,USA
347,,,Malindi Elmore,,13.03.80,CAN
348,,,Lauren Fleshman,,26.09.81,USA
349,,,Maurica Carlucci,,09.07.80,USA
350,71.0,17:36.83,Georgetown University,3,Philadelphia,24.04.2015
351,,,Hannah Neczypor,(4:25.4),30.01.93,USA
352,,,Haley Pierce,(4:27.2),21.01.94,USA
353,,,Madeline Chambers,(4:27.0),18.01.92,USA
354,,,Katrina Coogan,(4:17.2),15.11.93,USA
355,72.0,17:37.11,University of Arkansas,2,Philadelphia,28.04.2000
356,,,Tracey Robertson,(4:18.6),29.04.77,CAN
357,,,Christin Wurth-Thomas,(4:28.9),11.07.80,USA
358,,,Jessica Dailey,(4:20.3),23.02.78,USA
359,,,Amy Yoder-Begley,(4:29.3),11.01.78,USA
360,73.0,17:37.15,University of Wisconsin,1,Philadelphia,23.04.1999
361,,,Stephanie Pesch,(4:22.7),05.03.78,USA
362,,,Beth Brewster,(4:28.0),18.02.80,USA
363,,,Janet Westphal,(4:23.7),22.12.75,USA
364,,,Jenelle Deatherage,(4:22.8),25.09.77,USA
365,74.0,17:37.21,University of Colorado,2,Philadelphia,25.04.1997
366,,,Kara Goucher,(4:29.9),09.07.78,USA
367,,,Carrie Messner,(4:26.9),17.06.77,USA
368,,,Shayne Wille,(4:20.6),03.12.73,USA
369,,,Kelly Smith,(4:19.8),02.08.75,USA
370,75.0,17:37.23,University of North College,3,Philadelphia,23.04.2004
371,,,Meghan Owen,(4:32.1),17.12.84,USA
372,,,Erin Donohue,(4:20.3),08.05.83,USA
373,,,Carol Henry,(4:23.0),20.06.82,CAN
374,,,Alice Schmidt,(4:21.8),10.03.81,USA
375,76.0,17:37.27,Stanford University,2,Philadelphia,28.04.2001
376,,,Ashley Couper,,05.12.77,BER
377,,,Erin Sullivan,,29.03.81,USA
378,,,Lauren Fleshman,,26.09.81,USA
379,,,Sally Glynn,,03.11.78,USA
380,77.0,17:37.36,Moskovskaya Region,1,Sochi,12.09.2006
381,,,Oleysa Mikheyeva,,23.07.81,RUS
382,,,Kseniya Agafonova,,25.06.83,RUS
383,,,Natalya Pantelyeva,,18.08.83,RUS
384,,,Yelena Orlova,,30.05.80,RUS
385,78.0,17:37.51,Villanova University,1,Philadelphia,29.04.1994
386,,,Carole Zajac,(4:27.5),24.03.72,USA
387,,,Jennifer Rhines,(4:23.6),01.07.74,USA
388,,,Emer Molloy,(4:29.0),28.01.72,IRL
389,,,Becky Spies,(4:17.4),23.05.73,USA
390,79.0,17:38.16,Stanford University,1,Philadelphia,29.04.2005
391,,,Kathleen Trotter,(4:25.1),04.04.85,USA
392,,,Amanda Trotter,(4:31.3),04.04.85,USA
393,,,Sara Hall,(4:22.4),15.04.83,USA
394,,,Arianna Lambie,(4:19.2),12.06.85,USA
395,80.0,17:38.30,Georgetown University,4,Philadelphia,23.04.2004
396,,,Amanda Pape,(4:32.1),19.09.81,USA
397,,,Tara Clack,(4:14.1),07.03.80,USA
398,,,Colleen Kelly,,06.11.81,USA
399,,,Sabine Knothe,,07.01.83,GER
400,81.0,17:38.34,Stanford University,2,Philadelphia,26.04.1996
401,,,Deena Dey,(4:22.9),01.05.75,USA
402,,,Monal Chokshi,(4:25.4),29.05.75,USA
403,,,Sarna Renfro,(4:24.8),19.09.76,USA
404,,,Mary Cobb,(4:25.2),15.01.68,USA
405,82.0,17:39.12,Providence College,4,Philadelphia,27.04.1990
406,,,Geraldine Nolan,(4:27.3),11.04.74,IRL
407,,,Siobhan Gallagher,(4:15.7),68,IRL
408,,,Sinéad Delahunty,(4:27.5),12.02.71,IRL
409,,,Geraldine Hendricken,(4:28.6),19.04.70,IRL
410,83.0,17:39.23,Indiana University,9,Philadelphia,29.04.2023
411,,,Maddie Dalton,,,USA
412,,,Sarah Schmitt,,,USA
413,,,Jenna Barker,,,USA
414,,,Pheobe Bates,,,USA
415,84.0,17:39.25,Michigan State University,10,Philadelphia,29.04.2023
416,,,Katie Osika,,15.11.99,USA
417,,,Kaitlyn Haynes,,,USA
418,,,Judith Rector,,,USA
419,,,Taylor Visscher,,,USA
420,85.0,17:39.26,Villanova University,1,Philadelphia,26.04.2019
421,,,Lydia Olivere,(4:28.6),08.03.00,USA
422,,,Rachel McArthur,(4:18.4),04.08.99,USA
423,,,Caroline Alcorta,(4:28.0),27.05.96,USA
424,,,Nicole Hutchinson,(4:24.3),17.06.97,CAN
425,86.0,17:39.43,Brigham Young University,2,Philadelphia,23.04.1999
426,,,JoLee Gillespie,(4:26.1),02.07.79,USA
427,,,Laura Heiner,(4:30.3),06.09.79,USA
428,,,Maggie Chan Man Yee,(4:24.5),28.10.75,HKG
429,,,Sharolyn Shields,(4:18.5),01.06.79,CAN
430,87.0,17:39.48,University of Tennessee,8,Philadelphia,30.04.2022
431,,,Katie Thronson,,23.08.00,USA
432,,,Sydney Seymour,,11.08.99,USA
433,,,Brooke Dixon,,,USA
434,,,Olivia Janke,,,USA
435,88.0,17:39.52,University of California,3,Philadelphia,26.04.1991
436,,,Maria Akraka,(4:14.8),07.07.66,SWE
437,,,Rayna Cervantes,(4:29.1),09.12.70,USA
438,,,Brigid Sterling,(4:34.2),22.10.68,USA
439,,,Buffy Rabbit,(4:21.4),17.10.68,USA
440,89.0,17:39.72,Wake Forest University,3,Philadelphia,23.04.1999
441,,,Janelle Kraus,(4:24.9),13.12.77,USA
442,,,Alison Anibaldi,(4:25.7),19.08.77,USA
443,,,Kelly Brady,(4:27.0),02.03.79,USA
444,,,Jill Snyder,(4:22.1),07.08.78,USA
445,90.0,17:39.78,University of Oregon,3,Philadelphia,28.04.2017
446,,,Emma Abrahamson,(4.33.5),20.09.96,USA
447,,,Isabella Burdon,(4.25.8),17.07.99,AUS
448,,,Jessica Hull,(4:19.7),22.10.96,AUS
449,,,Samantha Nadel,(4:19.8),05.06.94,USA
450,91.0,17:39.82,University of Indiana,4,Philadelphia,28.04.2017
451,,,Corinne Cominator,(4:33.0),05.06.94,USA
452,,,Brenna Calder,(4:20.4),21.03.96,USA
453,,,Haley Harris,(4:28.2),29.05.97,USA
454,,,Katherine Receveur,(4:18.2),19.01.96,USA
455,92.0,17:40.30,University of Wisconsin,1,Philadelphia,24.04.1998
456,,,Avrie Walters,(4:25.4),30.03.76,USA
457,,,Becky Schaefer,(4:26.5),31.03.75,USA
458,,,Janet Westphal,(4:25.1),22.12.75,USA
459,,,Jenni Westphal,(4:23.3),22.12.75,USA
460,93.0,17:40.43,University of Michigan,2,Philadelphia,29.04.1994
461,,,Karen Harvey,(4:27.1),09.08.72,CAN
462,,,Molly McClimon,(4:24.0),10.04.71,USA
463,,,Christine Szabo,(4:27.8),12.05.72,USA
464,,,Courtney Babcock,(4:21.5),30.06.72,CAN
465,94.0,17:40.99,Georgetown University,2,Philadelphia,27.04.2012
466,,,Madeline Chambers,(4:33.1),18.01.92,USA
467,,,Rachel Schneider,(4:22.6),18.07.91,USA
468,,,Katrina Coogan,(4:25.3),15.11.93,USA
469,,,Emily Infeld,(4:20.0),21.03.90,USA
470,95.0,17:41.0,BMC National Squad,1,Watford,30.04.1997
471,,,Elinor Doubell,(4:33.0),27.09.71,GBR
472,,,Joanne Pavey,(4:24.5),20.09.73,GBR
473,,,Michelle Faherty,(4:22.3),10.08.68,GBR
474,,,Lynn Gibson,(4:21.2),06.07.69,GBR
475,96.0,17:41.05,University of Arkansas,4,Philadelphia,23.04.1999
476,,,Tracey Robertson,(4:24.1),29.04.77,CAN
477,,,Karen Bockel,(4:31.4),01.03.75,GER
478,,,Amy Yoder-Begley,(4:27.7),11.01.78,USA
479,,,Jessica Koch,(4:20.9),23.02.78,USA
